Temp Part,Heat Capacity,Thermal Insulance,Emissivity
100.0,305.64005,19.313618,0.895
150.0,326.9146,19.92469,0.895
200.0,357.1954,20.779388,0.895
250.0,385.7795,21.770308,0.895
300.0,411.70035,22.977646,0.895
350.0,432.32437,24.079027,0.895
400.0,448.36874,25.116941,0.895
450.0,462.05978,26.178154,0.895
500.0,473.26443,27.184414,0.895
550.0,482.83038,28.243416,0.895
600.0,491.4969,29.437744,0.89543563
650.0,498.88153,30.608753,0.8973642
700.0,506.18005,31.804018,0.89929277
750.0,514.18384,33.08437,0.90122133
800.0,522.00616,34.28551,0.9031499
850.0,530.32263,35.496204,0.9050785
900.0,539.8113,36.80773,0.90700704
950.0,550.17255,38.0537,0.9089356
1000.0,562.8496,39.30074,0.91086423
1050.0,579.0824,40.624172,0.9127928
1100.0,597.999,41.849392,0.91472137
1150.0,619.781,43.03752,0.91664994
1200.0,642.1753,44.171425,0.9185785
1250.0,660.606,45.034157,0.9205071
1300.0,677.62665,45.7906,0.92243564
1350.0,690.5274,46.327488,0.9243642
1400.0,700.79364,46.729267,0.92629284
1450.0,709.23315,47.03746,0.92629284
1500.0,713.802,47.199825,0.92629284
1550.0,715.7995,47.270176,0.92629284
1600.0,715.93994,47.275124,0.92629284
1650.0,715.94,47.275124,0.92629284
1700.0,715.9399,47.275124,0.92629284
1750.0,715.9399,47.275124,0.92629284
1800.0,715.9398,47.27513,0.92629284
1850.0,715.9399,47.27513,0.92629284
1900.0,715.9398,47.275127,0.92629284
1950.0,715.9398,47.275135,0.92629284
2000.0,715.93976,47.27513,0.92629284
2050.0,715.9401,47.27512,0.92629284
2100.0,715.94,47.275124,0.92629284
2150.0,715.9399,47.275116,0.92629284
2200.0,715.9402,47.275105,0.92629284
2250.0,715.94,47.275112,0.92629284
2300.0,715.94,47.275112,0.92629284
2350.0,715.94025,47.275105,0.92629284
2400.0,715.94006,47.275112,0.92629284
2450.0,715.9401,47.275112,0.92629284
2500.0,715.94,47.275112,0.92629284
2550.0,715.93994,47.275112,0.92629284
2600.0,715.9399,47.275124,0.92629284
2650.0,715.93994,47.275116,0.92629284
2700.0,715.94025,47.27511,0.92629284
2750.0,715.9399,47.275097,0.92629284
2800.0,715.93964,47.275116,0.92629284
2850.0,715.9398,47.27511,0.92629284
2900.0,715.9398,47.27511,0.92629284
2950.0,715.93976,47.27511,0.92629284
3000.0,715.93976,47.275116,0.92629284
