Temp Part,Heat Capacity,Thermal Insulance,Emissivity
100.0,431.58252,0.00068973313,0.6
150.0,436.1745,0.00068986637,0.60899913
200.0,478.0025,0.0006919134,0.68999916
250.0,519.9373,0.0006939868,0.77099925
300.0,554.3957,0.00069592224,0.7879999
350.0,587.90936,0.00069800636,0.79699993
400.0,616.915,0.0007040392,0.80599993
450.0,641.97845,0.00071267184,0.81499994
500.0,672.86505,0.00072466757,0.824
550.0,703.8024,0.0007389495,0.8324
600.0,725.03534,0.00077095145,0.8396
650.0,743.5206,0.00079107063,0.8468
700.0,762.1256,0.0008122002,0.85400003
750.0,783.4634,0.00086338684,0.86120003
800.0,802.30786,0.0008920387,0.86840004
850.0,815.4004,0.000921916,0.8742
900.0,826.6372,0.00095210026,0.8796
950.0,840.4146,0.0010220178,0.88499993
1000.0,851.06,0.0010472981,0.89039993
1050.0,861.5141,0.001069618,0.8957999
1100.0,871.99316,0.0010894901,0.8996
1150.0,885.42694,0.0011589056,0.8978
1200.0,896.2448,0.0011753787,0.896
1250.0,906.9869,0.001190235,0.8942001
1300.0,917.6664,0.0012037121,0.8924001
1350.0,930.38293,0.001270658,0.8906001
1400.0,935.47174,0.0012816334,0.8828005
1450.0,945.32007,0.0012916761,0.8720002
1500.0,956.8452,0.0013563292,0.8611999
1550.0,966.4694,0.0013642767,0.8503996
1600.0,976.07446,0.0013716068,0.83959925
1650.0,985.50604,0.0013783922,0.8273312
1700.0,995.0471,0.0014340333,0.8033317
1750.0,1001.7022,0.0014393198,0.77933216
1800.0,1008.3479,0.0014442422,0.7553327
1850.0,1015.05865,0.0014488399,0.72899944
1900.0,1022.88934,0.0014965573,0.70199955
1950.0,1029.682,0.0015000576,0.6749996
2000.0,1036.4694,0.0015033416,0.6479997
2050.0,1043.2524,0.0015064287,0.62099975
2100.0,1050.9417,0.0015469112,0.59399986
2150.0,1057.7023,0.0015491843,0.5669999
2200.0,1064.4607,0.0015513293,0.54
2250.0,1068.5667,0.0015858794,0.54
2300.0,1068.5917,0.001587388,0.54
2350.0,1068.6151,0.0015888165,0.54
2400.0,1068.6372,0.0015901717,0.54
2450.0,1069.2316,0.0016188225,0.54
2500.0,1069.2433,0.0016197023,0.54
2550.0,1069.2546,0.0016205393,0.54
2600.0,1069.2653,0.0016213369,0.54
2650.0,1069.6329,0.0016443044,0.54
2700.0,1069.6383,0.0016447586,0.54
2750.0,1069.6431,0.001645192,0.54
2800.0,1069.6477,0.0016456066,0.54
2850.0,1069.9578,0.0016617337,0.54
2900.0,1069.9581,0.0016619283,0.54
2950.0,1069.9585,0.0016621148,0.54
3000.0,1069.9889,0.001672176,0.54
